epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1.0315,0.53694,1.0343,0.76115,0.73604,0.76252,0.5022,0.99405,0.48434,1.0338,0.006337,0.006337,0.006337
77,1.0403,0.53225,1.0386,0.77047,0.73305,0.76588,0.50373,0.99233,0.48298,1.0328,0.0062875,0.0062875,0.0062875
78,1.0349,0.54,1.0402,0.79522,0.71593,0.76528,0.50345,0.99452,0.48266,1.0332,0.006238,0.006238,0.006238
79,1.0251,0.53808,1.0359,0.77538,0.73029,0.76604,0.50455,0.99341,0.48071,1.0333,0.0061885,0.0061885,0.0061885
80,1.0478,0.53672,1.0415,0.77562,0.7324,0.76642,0.50553,0.99315,0.48075,1.0333,0.006139,0.006139,0.006139
81,1.0422,0.54104,1.0453,0.80168,0.71703,0.76802,0.50691,0.99374,0.47945,1.034,0.0060895,0.0060895,0.0060895
82,1.0305,0.53215,1.0403,0.80066,0.7237,0.76931,0.50783,0.99152,0.47858,1.0334,0.00604,0.00604,0.00604
83,1.014,0.51934,1.037,0.78905,0.72568,0.76935,0.50837,0.99088,0.47801,1.0333,0.0059905,0.0059905,0.0059905
84,1.0243,0.52724,1.0326,0.77461,0.73805,0.76883,0.50853,0.99034,0.4778,1.0325,0.005941,0.005941,0.005941
85,0.97943,0.51011,1.0184,0.7817,0.73074,0.76889,0.50741,0.98947,0.47692,1.0321,0.0058915,0.0058915,0.0058915
86,1.0199,0.53067,1.0275,0.78674,0.72736,0.76929,0.50735,0.98948,0.47643,1.032,0.005842,0.005842,0.005842
87,1.0158,0.52435,1.0377,0.81935,0.70857,0.76913,0.50757,0.98857,0.47581,1.032,0.0057925,0.0057925,0.0057925
88,1.0074,0.51975,1.0256,0.82217,0.70729,0.76963,0.50827,0.98783,0.4762,1.0317,0.005743,0.005743,0.005743
89,1.0153,0.52597,1.0279,0.78804,0.73275,0.76996,0.50873,0.98738,0.4759,1.0316,0.0056935,0.0056935,0.0056935
90,1.0184,0.52722,1.0271,0.79475,0.72225,0.76965,0.5086,0.98688,0.47487,1.0318,0.005644,0.005644,0.005644
91,1.0059,0.51463,1.0281,0.79065,0.72778,0.77103,0.50915,0.98663,0.47399,1.0318,0.0055945,0.0055945,0.0055945
92,0.98501,0.50548,1.0139,0.80216,0.71994,0.7705,0.50899,0.986,0.47367,1.0316,0.005545,0.005545,0.005545
93,1.018,0.51925,1.034,0.80388,0.72146,0.77104,0.5095,0.98524,0.47321,1.0314,0.0054955,0.0054955,0.0054955
94,1.0025,0.51561,1.0242,0.79609,0.72384,0.77032,0.51056,0.98458,0.47281,1.0313,0.005446,0.005446,0.005446
95,1.0096,0.51565,1.0301,0.80039,0.72355,0.7707,0.51021,0.98436,0.47261,1.0312,0.0053965,0.0053965,0.0053965
96,0.99267,0.51067,1.0209,0.79936,0.72361,0.77058,0.51024,0.98351,0.47207,1.0309,0.005347,0.005347,0.005347
97,0.99285,0.505,1.0241,0.79757,0.72646,0.76991,0.51094,0.98237,0.47148,1.0306,0.0052975,0.0052975,0.0052975
98,0.99758,0.50862,1.0262,0.79492,0.72708,0.77048,0.51157,0.98214,0.47074,1.0305,0.005248,0.005248,0.005248
99,0.99734,0.50177,1.0198,0.7961,0.72557,0.7698,0.51162,0.98196,0.47009,1.0311,0.0051985,0.0051985,0.0051985
100,1.0073,0.50747,1.0244,0.79917,0.72777,0.77198,0.51262,0.98149,0.46991,1.0309,0.005149,0.005149,0.005149
101,0.98731,0.49949,1.0261,0.79598,0.72988,0.77154,0.51287,0.98123,0.46936,1.0307,0.0050995,0.0050995,0.0050995
102,0.99985,0.50616,1.0203,0.80177,0.7284,0.7726,0.51336,0.98042,0.46893,1.0298,0.00505,0.00505,0.00505
103,0.9926,0.51116,1.0173,0.80978,0.72267,0.7734,0.5134,0.98028,0.46836,1.0297,0.0050005,0.0050005,0.0050005
