epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,0.99255,0.51386,0.97166,0.79517,0.72984,0.7759,0.51513,0.97353,0.4714,0.9738,0.0059905,0.0059905,0.0059905
84,0.98912,0.51709,0.96658,0.78942,0.73586,0.77631,0.51594,0.97261,0.47046,0.97323,0.005941,0.005941,0.005941
85,0.95077,0.49815,0.95526,0.79007,0.74147,0.7772,0.51655,0.97179,0.47019,0.97289,0.0058915,0.0058915,0.0058915
86,0.99397,0.52046,0.96547,0.79134,0.73501,0.77792,0.51695,0.97108,0.46975,0.9727,0.005842,0.005842,0.005842
87,0.99757,0.51549,0.97733,0.79695,0.737,0.77968,0.518,0.97028,0.46902,0.97268,0.0057925,0.0057925,0.0057925
88,0.98658,0.5107,0.96819,0.78878,0.73638,0.77669,0.51813,0.96925,0.46888,0.97215,0.005743,0.005743,0.005743
89,0.98795,0.51536,0.96627,0.79174,0.7328,0.77474,0.51808,0.96882,0.46867,0.97197,0.0056935,0.0056935,0.0056935
90,0.99208,0.51682,0.96656,0.7917,0.73915,0.77651,0.51854,0.96853,0.46781,0.97177,0.005644,0.005644,0.005644
91,0.97931,0.50547,0.96496,0.79255,0.73884,0.77697,0.51857,0.96884,0.4671,0.97137,0.0055945,0.0055945,0.0055945
92,0.96496,0.49774,0.95568,0.79254,0.73966,0.77729,0.51828,0.9687,0.46658,0.97116,0.005545,0.005545,0.005545
93,0.98899,0.51503,0.96687,0.79381,0.73607,0.77718,0.5192,0.96788,0.46629,0.97079,0.0054955,0.0054955,0.0054955
94,0.97435,0.50717,0.95723,0.79774,0.72963,0.77625,0.52024,0.96732,0.4657,0.97062,0.005446,0.005446,0.005446
95,0.98586,0.5046,0.96689,0.81189,0.72106,0.77521,0.51988,0.96693,0.46506,0.97074,0.0053965,0.0053965,0.0053965
96,0.96909,0.49915,0.95837,0.80573,0.7246,0.77505,0.51942,0.96646,0.46504,0.97077,0.005347,0.005347,0.005347
97,0.96328,0.49513,0.95783,0.8027,0.72678,0.77472,0.5187,0.96562,0.46455,0.97044,0.0052975,0.0052975,0.0052975
98,0.96566,0.49437,0.9612,0.8012,0.72907,0.77541,0.51964,0.96491,0.4641,0.97031,0.005248,0.005248,0.005248
99,0.96464,0.49367,0.95313,0.80843,0.72487,0.77577,0.52035,0.96463,0.46394,0.97024,0.0051985,0.0051985,0.0051985
100,0.97894,0.49457,0.95807,0.80913,0.72821,0.77645,0.521,0.96434,0.46345,0.97021,0.005149,0.005149,0.005149
101,0.96132,0.49119,0.96245,0.8019,0.73036,0.77614,0.52096,0.96414,0.46317,0.97019,0.0050995,0.0050995,0.0050995
102,0.97585,0.49413,0.9564,0.80061,0.73395,0.77543,0.52195,0.96338,0.46269,0.9699,0.00505,0.00505,0.00505
103,0.96727,0.4996,0.95661,0.80003,0.73391,0.77571,0.52221,0.96324,0.46249,0.96983,0.0050005,0.0050005,0.0050005
104,0.9576,0.49604,0.95014,0.79895,0.73619,0.77576,0.52293,0.96263,0.46148,0.96972,0.004951,0.004951,0.004951
105,0.96704,0.495,0.95725,0.79729,0.73672,0.77608,0.52229,0.96216,0.4613,0.96947,0.0049015,0.0049015,0.0049015
106,0.98084,0.50138,0.96183,0.79756,0.73822,0.77686,0.52244,0.96214,0.46091,0.96949,0.004852,0.004852,0.004852
107,0.96649,0.4935,0.95468,0.79706,0.73852,0.77755,0.5228,0.96195,0.46056,0.96947,0.0048025,0.0048025,0.0048025
108,0.95999,0.49404,0.95755,0.79647,0.73614,0.77679,0.52307,0.96151,0.46004,0.96928,0.004753,0.004753,0.004753
109,0.95781,0.48674,0.95658,0.80236,0.73451,0.7766,0.52332,0.96121,0.45979,0.96907,0.0047035,0.0047035,0.0047035
110,0.94083,0.48305,0.94426,0.7925,0.73824,0.77735,0.52373,0.96112,0.45953,0.96911,0.004654,0.004654,0.004654
111,0.95288,0.4803,0.94868,0.79268,0.73826,0.7768,0.52366,0.96123,0.45938,0.96914,0.0046045,0.0046045,0.0046045
112,0.96019,0.49271,0.95766,0.79631,0.73787,0.77743,0.5245,0.96106,0.45897,0.96902,0.004555,0.004555,0.004555
113,0.93262,0.47982,0.95234,0.79893,0.73676,0.77765,0.52427,0.96103,0.45851,0.96904,0.0045055,0.0045055,0.0045055
114,0.95261,0.47988,0.94945,0.80189,0.73553,0.77808,0.52408,0.96104,0.45849,0.96896,0.004456,0.004456,0.004456
115,0.9341,0.4739,0.94792,0.80027,0.73652,0.77823,0.52439,0.96063,0.45837,0.96885,0.0044065,0.0044065,0.0044065
116,0.94534,0.48079,0.94794,0.80133,0.73531,0.77831,0.52488,0.9605,0.45791,0.96877,0.004357,0.004357,0.004357
117,0.94354,0.47993,0.941,0.80029,0.73661,0.78066,0.52529,0.96016,0.45791,0.96874,0.0043075,0.0043075,0.0043075
118,0.94297,0.47901,0.9395,0.80073,0.73518,0.77871,0.52542,0.96011,0.45758,0.96874,0.004258,0.004258,0.004258
119,0.92661,0.47432,0.94897,0.79912,0.73673,0.7791,0.52597,0.95997,0.4574,0.96875,0.0042085,0.0042085,0.0042085
120,0.93055,0.4745,0.94791,0.79699,0.73688,0.7789,0.52593,0.95981,0.45705,0.96869,0.004159,0.004159,0.004159
121,0.93164,0.47621,0.94408,0.80262,0.73543,0.77941,0.52591,0.95977,0.45735,0.96864,0.0041095,0.0041095,0.0041095
122,0.94881,0.47459,0.9443,0.80418,0.73482,0.77963,0.52619,0.95963,0.45735,0.96864,0.00406,0.00406,0.00406
123,0.91963,0.46562,0.94732,0.80421,0.73563,0.77971,0.52681,0.95921,0.45688,0.96852,0.0040105,0.0040105,0.0040105
124,0.91984,0.46771,0.93566,0.80511,0.73563,0.77977,0.52676,0.95938,0.45668,0.96881,0.003961,0.003961,0.003961
125,0.92663,0.4701,0.94874,0.80428,0.73572,0.77963,0.52749,0.95877,0.45641,0.96871,0.0039115,0.0039115,0.0039115
126,0.92962,0.47157,0.94387,0.80057,0.7388,0.78108,0.52707,0.95833,0.4563,0.96859,0.003862,0.003862,0.003862
127,0.91801,0.46558,0.94049,0.79864,0.74059,0.78002,0.52643,0.95842,0.45606,0.96859,0.0038125,0.0038125,0.0038125
128,0.90573,0.45592,0.93689,0.79831,0.73976,0.78008,0.52706,0.958,0.4561,0.96826,0.003763,0.003763,0.003763
129,0.9155,0.46661,0.93761,0.80093,0.74061,0.78129,0.52781,0.95779,0.45605,0.96816,0.0037135,0.0037135,0.0037135
130,0.92319,0.46739,0.93657,0.80538,0.73706,0.78131,0.52751,0.9575,0.45589,0.96816,0.003664,0.003664,0.003664
131,0.91999,0.46068,0.94441,0.80261,0.7357,0.77952,0.52785,0.95738,0.45565,0.96812,0.0036145,0.0036145,0.0036145
132,0.90679,0.45551,0.93571,0.80465,0.73584,0.78033,0.52824,0.95734,0.45542,0.96824,0.003565,0.003565,0.003565
133,0.90982,0.46223,0.93267,0.80472,0.73615,0.78057,0.52867,0.95741,0.45502,0.96826,0.0035155,0.0035155,0.0035155
134,0.91245,0.4629,0.94023,0.80738,0.73636,0.78166,0.52885,0.95734,0.4548,0.96837,0.003466,0.003466,0.003466
135,0.91388,0.46665,0.93825,0.80882,0.73636,0.78199,0.52872,0.95737,0.45499,0.96839,0.0034165,0.0034165,0.0034165
136,0.90047,0.45375,0.93586,0.80783,0.73577,0.7825,0.52963,0.95683,0.45461,0.96824,0.003367,0.003367,0.003367
137,0.90861,0.4562,0.93179,0.80965,0.73693,0.78257,0.52969,0.95654,0.45462,0.96829,0.0033175,0.0033175,0.0033175
138,0.90242,0.45091,0.93971,0.80739,0.73582,0.7813,0.52975,0.95645,0.45464,0.96828,0.003268,0.003268,0.003268
139,0.88929,0.44725,0.92643,0.81072,0.73707,0.78252,0.52957,0.95661,0.45466,0.96831,0.0032185,0.0032185,0.0032185
140,0.90034,0.45082,0.93079,0.81069,0.7361,0.7827,0.52982,0.95633,0.45441,0.96832,0.003169,0.003169,0.003169
141,0.89622,0.44737,0.92879,0.80828,0.73522,0.78108,0.52881,0.95621,0.45435,0.96807,0.0031195,0.0031195,0.0031195
142,0.88899,0.44256,0.92629,0.80972,0.73307,0.78135,0.52949,0.95623,0.45453,0.96814,0.00307,0.00307,0.00307
143,0.89613,0.45221,0.93411,0.80901,0.73505,0.78157,0.5295,0.95628,0.45442,0.96818,0.0030205,0.0030205,0.0030205
144,0.8953,0.44501,0.93243,0.80953,0.73558,0.78158,0.52929,0.956,0.45436,0.96815,0.002971,0.002971,0.002971
145,0.87838,0.44468,0.92365,0.81208,0.73468,0.78178,0.53022,0.95578,0.45464,0.96801,0.0029215,0.0029215,0.0029215
146,0.88517,0.44273,0.92682,0.81217,0.73504,0.78217,0.52955,0.95594,0.45444,0.968,0.002872,0.002872,0.002872
147,0.88641,0.44698,0.92545,0.81122,0.73749,0.78174,0.52969,0.95572,0.45437,0.96784,0.0028225,0.0028225,0.0028225
148,0.87445,0.44039,0.92358,0.80503,0.73995,0.78184,0.53022,0.95568,0.45431,0.96785,0.002773,0.002773,0.002773
